排序,分组,领域,评估项目,操作描述,所需材料,适用年龄,是否必答,评分说明_2_通过,评分说明_1_萌芽,评分说明_0_不通过
11,功能发展,模仿(口语),模仿动物(手偶)的声音,在实施项目6 A(把手偶套在他的手上)的过程中，引导孩子模仿声音．也就是说当孩子手的时候你要发出“喵喵”、“汪汪”等声音并向孩子说明也这样做．,一只手偶猫和一只手偶狗,,是,孩子能模仿手偶猫的声音“喵喵”或者模仿你在游戏时发出的任何别的动物的叫声．中间反面：孩子设法去发出任何一种声响来模仿手偶的声音．通不过：孩子不能或者也不试着去模仿发出任何一种声音,,孩子不能或者也不试着去模仿发出任何一种声音
12,功能发展,认知表现,与手偶从事复杂的游戏互动,拿一个手偶给孩子，另一个套在你的手上，说：“我们玩什么?”鼓励孩子和你一起使用2个手偶作为主要角色来演出一个小情节．如果孩子没有任何联想或者不能进入某个情节，就提示孩子说手偶正在睡觉、跳舞、去商店买冰淇淋等等．,同6B,,是,孩子能用手中的手偶表演一个小情节并与测试者手中的手偶互动,孩子仅用自己手中的手偶表演情节，但并不与测试者手中的手偶互动．如果他表演了一个情节并与测试者手中的手偶互动，但在情节表演中并不使用自己的手偶，也可以评为中间反应,孩子不能或不试着用他的手偶表演任何情节，也不与测试者手中的手偶互动
13,功能发展,认知表现,指认手偶狗躯体的各部位,把手偶狗套在你的手上，举在孩子可能够得到的地方，要他指认狗的a)眼睛b)鼻子c)耳朵d)嘴等．,一只手偶狗,,是,孩子至少能指认出手偶躯体的上述三个部位,孩子至少能指出上述一个部位．如果孩子能指出其中至少一个部位的大致方位(例如指着狗的脸代表眼睛)，或者如果每次都指着同一个部位(例如指着狗的眼睛代表所有上述躯体部位)，若至少有一次正确，同样可以评为中间反应,孩子不能或者也不试着去指认其中任何一个部位
14,功能发展,认知表现,指认自己躯体的各部位,不要用任何手势，让孩子指出他自己的a)眼睛b)鼻子c)耳朵d)嘴巴．,无,,是,孩子至少能指出自己躯体上述各部位中的三个部位,孩子至少能指认其中一个部位，或者如果孩子至少能指出其中一个部位的大致方位(例如指着他的脸代表眼睛)，或者如果每次都指着同一个躯体部位(例如指着自己的眼睛表示所有躯体部位)，若至少有一处正确，也可以评为中间反应,孩子不能或者也不试着去指认任何部位
15,功能发展,知觉(视觉),完成三块式几何图形的拼图,把三块式几何图形拼图板放在孩子面前的桌子上．三角形的底边要对着孩子．把圆形、正方形、三角形的拼块取出，拼块的捏手一面要朝上，放在模板和孩子中间．要确保每一拼块都不要正对着模板上的图形位置．然后指着模扳向孩子说明去把图形拼块放进去，但不要直接指着任何位置．若经过一段时间孩子似乎难于理解或完成任务，则拿圆形向他演示一遍．然后拿掉放回桌子，并再次向他说明把这三块图形放进去．,三块式几何图形(圆形、正方形、三角形)拼图板。,,是,即使孩子不能把拼块嵌入模板，却能指出三个拼块适当的位置。也就是说如果他把拼块放在对应的位置附近(如偏上、偏下或未完全放入)，而不必向他示范如何去做，则可评为通过,孩子能至少指出三个拼块中—块的适当位置．孩子也不必把此块完全嵌入模板。如果他需要示范才试图或完成这项任务，也可评为中间反应,甚至在示范之后，孩子也不能或者不试着去指出任何一块的正确放法
15,功能发展,手眼协调,完成三块式几何图形的拼图,把三块式几何图形拼图板放在孩子面前的桌子上．三角形的底边要对着孩子．把圆形、正方形、三角形的拼块取出，拼块的捏手一面要朝上，放在模板和孩子中间．要确保每一拼块都不要正对着模板上的图形位置．然后指着模扳向孩子说明去把图形拼块放进去，但不要直接指着任何位置．若经过一段时间孩子似乎难于理解或完成任务，则拿圆形向他演示一遍．然后拿掉放回桌子，并再次向他说明把这三块图形放进去．,三块式几何图形(圆形、正方形、三角形)拼图板。,,是,孩子不需要示范就能把三个拼块完全嵌入到对应的位置上,孩子至少能把其中一块嵌入对应的位置，或者他需要示范才试着或完成此项任务,孩子甚至在示范后也不能或不试着把其中任何一块嵌入对应的位置
16,功能发展,口语认知,表达性辨认三种几何形状(圆形，正方形及三角形),将三个几何图形拼块放在桌子上，指着圆形问孩子：“这是什么?”对正方形、三角形要重复同样的实施步骤。,同8A,,是,孩子能正确辨认三种图形,孩子能正确辨认至少一种图形。如果他把三种形状都说成是一种形状(如把圆形、正方形、三角形都说是圆形)，而且他至少说对了一种，也可评为中间反应,孩子不能正确说出任何一种图形的名称或者他不试着去说出
17,功能发展,认知表现,接受性辨认三种几何形状(圆形、正方形及三角形),把三个拼图块放在桌子上告诉孩子：“给我圆形”。如果他不能理解指令“给我”，你可以用“指一指”或“指给我看”、“在哪”等来代替。对正方形、三角形要重复同样的实施步骤。,同8A,,是,孩子能正确地递给你(或指出等)所有这三块图形,孩子能正确地递给你(或指出等)至少一块图形,孩子不能正确地或者也不试着递给你(或指出等)其中任何一块
18,功能发展,知觉(视觉),完成四块式(雨伞、小鸡、蝴蝶、梨)图形的拼图,把拼图板放在桌上，要面对着孩子放。递给他一个拼图块，并指着模板向他说明把拼块放进去．一旦把这块放进去了，再递给他另一块．对其他几块要重复同样的实施步骤。如果过了一段时间之后，孩子仍难于理解或完成这项任务，可把四块都示范一遍，  然后把拼块拿掉。再向孩子说明把拼块放入模板。,四块式(雨伞、小鸡、蝴蝶、梨)拼图板,,是,孩子不需示范就能正确放入全部四个拼块,孩子至少能正确地放入一个拼块，或者他需要示范才去尝试或完成这项任务,甚至在示范之后，孩子也不能或不试着去把任何一个拼块放入与其匹配的位置
19,行为表现,感觉,跨过中线去取得拼图块,把拼图块从拼图板上拿下来，但把模板留在孩子面前．把雨伞、小鸡放在孩子左手方向靠近模板的地方，把蝴蝶、梨放在孩子右手方向，向孩子说明再次把拼图块放到拼图板上．,四块式（雨伞、小鸡、蝴蝶、梨）拼图板,,是,孩子能不止一次越过中线去取得拼图块,孩子仅越过中线一次,孩子不能或者也不试着越过中线去得到拼图块．如果孩子不愿意拼图，则可在晚些时候使用其它材料(如蜡笔或积木块)给此项评分。这些材料的放置方法是：孩子必须跨过中线才能取得并使用
20,功能发展,知觉(视觉),完成三块式连指手套图形的拼图,将连指手套图形拼图形放在孩子面前的桌子上，把3个拼块放在孩子和拼图板之间，要确保每一拼块不与其位置对应。然后指着拼图板向孩子说明把拼块放进去，但不要直接指着任何一个位置。如果一段时间之后孩子仍难于理解或完成这项任务，则用3个拼块示范给他看。然后拿出拼块放回到桌子上，再次向孩子说明把拼块放入模板。,三块式连指手套图形拼图板,,是,即使孩子不能把拼块嵌入模扳，却能指出3个拼块所相应的位置；如果他不需示范而能把拼块放在接近匹配的位置(偏上、偏下、未完全嵌入)，均可评为通过,孩子至少能指出其中一块的相应位置。孩子也不必把拼块完全嵌入拼图板上．如果他需要示范才试着去做或者完成这一项目，也可评为中间反应,甚至在示范之后孩子也不能或不试图去指出任何一个拼块的位置
20,功能发展,手眼协调,完成三块式连指手套图形的拼图,将连指手套图形拼图形放在孩子面前的桌子上，把3个拼块放在孩子和拼图板之间，要确保每一拼块不与其位置对应。然后指着拼图板向孩子说明把拼块放进去，但不要直接指着任何一个位置。如果一段时间之后孩子仍难于理解或完成这项任务，则用3个拼块示范给他看。然后拿出拼块放回到桌子上，再次向孩子说明把拼块放入模板。,三块式连指手套图形拼图板,,是,孩子不需要示范就能把3个拼块完全嵌入相匹配的位置,孩子至少能把一个拼块完全嵌入相匹配的位置，或者他需要示范才试着去做或完成此项任务,孩子甚至在示范后也不能或者也不试着去将其中任何一块嵌入其相匹配的位置
21,功能发展,口语认知,大小概念(表达性辩认大小),把连指手套拼图板上最大和最小的两个拼块放在桌子上并拿走拼图板。指导小块放在孩子的左边，大块放在右边。然后指着这两个拼块对孩子说“看看这两块东西，它们是不一样的，有什么不一样？”拿起大块问孩子“这是哪一块?”对小的那一块重复同样的实施步骤。,同11A,,是,在两次试问中孩子能正确辨认出大块是大的、小块是小的,孩子在两次试问中至少有一次能正确辨认出其中的一块,在两次试问之中孩子不能正确辨认任何一块，或者也不试着去这样做
22,功能发展,认知表现,大小概念(接受性辨认大小),把一大一小的两个拼块放在桌子上。把小块放在孩子左边，大块放在孩子右边，对他说“把小块给我”不论孩子给你哪一块，都要放回原处，然后说“把大块给我”．重复同样的实施步骤。,同11A,,是,在两次试问中孩子都能正确地递给你大块和小块,孩子至少有一次能正确地递给你其中的一块,无论在哪一次试问中孩子也不能正确地递给你其中一块或者也不试着去这样做
23,功能发展,认知表现,完成四块式小猫图形联锁式拼图,把拼图块放在桌子上向孩子说明要把拼图块拼到一起(“把它们拼起来”)．如果一段时间之后孩子仍难于理解或完成这项任务，则用四个拼块示范给他看．然后让孩子再次试着去拼图．,四块式小猫图形联锁式拼图板,,是,孩子不需要示范就能指出如何把四块拼到一起，但四块不必紧紧咬合,孩子至少能指出其中两块如何能拼到一起，拼块也不必紧紧咬合．如果他需要示范才去尝试或完成这项任务，也评为中间反应,即使在示范之后孩子也不能或者不试着去指出任何两块是怎样拼到一起的
23,功能发展,手眼协调,完成四块式小猫图形联锁式拼图,把拼图块放在桌子上向孩子说明要把拼图块拼到一起(“把它们拼起来”)．如果一段时间之后孩子仍难于理解或完成这项任务，则用四个拼块示范给他看．然后让孩子再次试着去拼图．,四块式小猫图形联锁式拼图板,,是,孩子不需要示范就可把四个拼块紧密咬合在一起从而完成拼图,孩子能部分地完成拼图，至少能紧密地拼好两块，或者他需要示范才去尝试或完成此项任务,孩子不能也不试着去完成拼图(不会使任何两块紧密地咬合)
24,功能发展,认知表现,完成六块式奶牛图形拼图,把六块式拼图板放在孩子前面的桌子上并对他说“这是一头奶牛．”然后向孩子说明把拼图板拼起来．如果在一段时间之后孩子仍难于理解或完成此项目，就做示范．然后再次让孩子试着去拼图。,六块式奶牛图形拼图板,,是,孩子不需示范就能拼出图形,孩子能部分地完成拼图(例如至少有两块的位置摆得是正确的)．若孩子需要示范才去尝试或完成这一项目，也可评为中间反应,孩子未能设法拼出拼图(例如一块也没有摆到正确的位置上)或者即使在示范后他也不试着去做此项任务
25,功能发展,知觉(视觉),根据颜色将5只杯子和5只碟子配成对,任意选择3套杯子、碟子，把碟子放在孩子面前的桌子上，递给孩子一只杯子，并指着这些碟子向孩子说明去将这只杯子放在相同颜色的碟子上(“把它放到同样颜色的碟子上”)．对余下的两只杯子，重复同样的实施步骤．注意：如果孩子难于理解或完成这项任务，则用所有3只杯子示范，然后拿掉杯子，重复同样的实施步骤。每次务必只能递给孩子一只杯子．接下来把这3套杯碟拿掉，另外拿出3套，把3只碟子放在桌子上，其中两只碟子的颜色必须是新的．重复同样的实施步骤。,五套不同颜色(黄、红、蓝、绿和白色)的杯子和碟子．如果搞不到这些东西，测试者可以用5个彩色积木块和与之相匹配的5种颜色的纸盘来代替，测试步骤保持不变．,,是,孩子根据颜色能将5套杯碟都配成对,孩子根据颜色至少能配好一对杯碟,孩子不能或不试着根据颜色去把任何一套杯碟配成对
26,功能发展,口语认知,表达性辨认5种颜色,把5个碟子全部放在桌子上．指着或拿起一个碟子问“这是什么颜色的?”对其余的碟子重复同样的实施步骤．,14A,,是,孩子能正确地辨认全部5种颜色,孩子能正确地辨认至少一种颜色或舌把所有5个碟子说成一种颜色(如说所有的碟子都是绿色的),孩子不能正确辨认任何一种颜色或者他也不试着去这样做
27,功能发展,认知表现,接受性地辨认5种颜色,把5个碟子全部放在桌子上摆在孩子前面对他说：“把红色的给我．”如果孩子对理解“给我”这个命令有困难，可以用“指一指”、“指给我看”或“在哪”来代替。不论孩子递给你哪一个，都把它放回原处，并对其余的碟子重复同样的实施步骤．在问另一个之前，务必要把原先的一个放回原处。,同14A,,是,孩子能正确地递给你所有5种颜色的碟子,孩子至少能正确地递给你其中一个碟子,孩子不能或者也不试着正确地递给你任何一个碟子
28,功能发展,模仿(口语),复述两位数及三位数,引起孩子注意．对他说：“我要念一些数字，你仔细听着。我念完之后你来说。”这一项是让孩子依顺序重复两位数及三位数，每组都试读两次．只有当孩子第一次复述错了时才进行第二次试读．如果孩子一次也不能依顺序复述两位数，就不必再继续下去，在1 5 A和1 5 B这两项都可给他评为通不过．下面是要实施的数字(速率为每秒说一个)第一次试读       第二次试读两位数    7—9             5--3三位数    2—4—1          5—7—9,无,,是,孩子能正确地依顺序复述出两位数及三位数,孩子仅能正确地依顺序复述出两位数,孩子不能正确地依顺序复述出两位数或三位数，或者他也不试着去这样做
28,功能发展,口语认知,复述两位数及三位数,引起孩子注意．对他说：“我要念一些数字，你仔细听着。我念完之后你来说。”这一项是让孩子依顺序重复两位数及三位数，每组都试读两次．只有当孩子第一次复述错了时才进行第二次试读．如果孩子一次也不能依顺序复述两位数，就不必再继续下去，在1 5 A和1 5 B这两项都可给他评为通不过．下面是要实施的数字(速率为每秒说一个)第一次试读       第二次试读两位数    7—9             5--3三位数    2—4—1          5—7—9,无,,是,孩子能正确地依顺序复述两位数及三位数,孩子仅能正确地依顺序复述出两位数,孩子不能正确地依顺序复述出两位数或三位数，或者他也不试着去这样做
29,功能发展,模仿(口语),重复四位数及五位数,实施步骤、功能领域及评分标准同1 5 A．下面是要实施的数字：第一次试读       第二次试读    四位数    5—8—6—1       7-1—4—2五位数    3—2—9—4—8    7—4—8—3—1,无,,是,孩子能正确地依顺序复述出四位数及五位数,孩子仅能正确地依顺序复述出四位数,孩子不能正确地依顺序复述出四位数或五位数，或者他也不试着去这样做
29,功能发展,口语认知,重复四位数及五位数,实施步骤、功能领域及评分标准同1 5 A．下面是要实施的数字：第一次试读       第二次试读    四位数    5—8—6—1       7-1—4—2五位数    3—2—9—4—8    7—4—8—3—1,无,,是,孩子能正确地依顺序复述四位数及五位数,孩子仅能正确地依顺序复述出四位数,孩子不能正确地依顺序复述出四位数或五位数，或者他也不试着去这样做
30,功能发展,知觉(听觉),听见并寻找响板声音的方位,当孩子从事另一项任务时把响板放在孩子看不到的地方(在你背后或在桌子底下)然后响亮地发出啪啪声，注意孩子的反应．,响板,,是,孩子能明显地对声音作出某种反应，并正确地辨认声音方位。这种反应可能是语言的(如问这是什么声音)或非语言的(如眨眼睛，改变面部表情，跳起来，喊叫等等，并把头转向声音的方向),孩子有听到声音的某种表示，但并未去辨认声音的方位或辨认的方位不正确,孩子完全没有口语或非口语的表示，表明他听到了声音
30,行为表现,感觉,听见并寻找响板声音的方位,当孩子从事另一项任务时把响板放在孩子看不到的地方(在你背后或在桌子底下)然后响亮地发出啪啪声，注意孩子的反应．,响板,,是,孩子对声音能作出适当的反应(参见上面),孩子在作出反应前有相当时间的延迟或者显示出一种不相适应的情绪反应,孩子对声音作出不适当的反应。他的反应可能是一种过分的情绪反应(如极端恐慌或者长时间的尖叫)、过度敏感(如用双手捂上耳朵)、或者特别不敏感(如无任何反应)
31,功能发展,粗大动作,接球,站起来离开桌子，向孩子说明要他也这样做。拿球给他看，并向他说明你来抛球．然后站在孩子附近，轻轻地把球抛给他。注意他是否能接住球．接下来向他说明把球抛回给你，往复相互抛球三次．,一只大橡皮球,,是,在3次试抛当中，孩子至少有一次能确切地接住球,孩子3次都未设法把球接住(如未接住或掉落等),在3次试抛中孩子一次也没有试着去接球
32,功能发展,粗大动作,抛球,在实施项目l 7 A(接球)过程中注意孩子如何把球抛给你。,同17A,,是,孩子在3次试抛中至少有一次确切地把球抛向你或抛在接近你的地方,孩子3次都未能设法把球抛给你(例如滚动球，或把球往上抛，或者抛到自己身后),在3次试抛中孩子未能设法去抛球，或者也不试着去抛球(如球掉落下来、缺乏必要的协调、或者甚至没有试图去抛球的技能，或者拒绝这样做)
33,功能发展,粗大动作,踢球,示范给孩子看如何踢球。向他说明也这样做。然后把球递给他，让孩子试踢三次，把球踢出去。,同17A,,是,孩子在3次试踢中至少在一次确切地踢了球,孩子在3次之中都未能设法把球踢出去(例如轻拍或用脚推球),孩子不试着去踢球(例没有把脚从地面抬起)
34,行为表现,感觉,无利脚,在实施项目1 7 C(踢球)过程中，注意孩子是否一贯地使用同一只脚。在表一的表头部分，记下孩子偏用哪只脚或不用的那只脚。年龄较大的孩子还没显示出利脚被认为是病理学的一种迹象。,同17A,,是,孩子能明显地展示出利脚,孩子展示出利脚，但与其年龄相比不很稳定,孩子没有展示利脚
35,功能发展,粗大动作,单独行走,只有在没有观察到孩子有单独行走这一能力时才实施这—项目。让孩子站起来，然后向他说明去走路。要确保他没有接近任何可能用来支持他行走的东西。如果孩子单独行走有困难，可以把你的一只手给他，若不行，再给两只手。注意：这一项目仅对非常幼小的儿童实施，并不对残疾少年实施。,无,,是,孩子无需任何支持能单独行走,孩子能行走但需要你用一只手来支持他,孩子能行走但需要你用双手来支持他，或者他不能或也不试图单独行走
36,功能发展,粗大动作,上楼梯，每个台阶只用一只脚,和孩子一起站在阶梯前，示范如何上台阶，然后向孩子说明也这样做。如果孩子看上去有些困难，可以伸出一只手来支持他。,阶梯(最好无扶手),,是,孩子能上楼梯，每个台阶只用一只脚,孩子能上楼梯但每个台阶用两只脚或者他需要你的手作支持,孩子不能或者也不试图上楼梯(如爬)
37,功能发展,粗大动作,拍手,示范给孩子看如何拍手。拍上几次，然后向孩子说明也这样做。,无,,是,孩子能反复拍手,孩子未能设法拍手，但似乎知道必要的动作,孩子未能设法去拍手，且似乎也不知道必要的动作或者也不试着去做
38,功能发展,粗大动作,单脚站立,示范给孩子看如何单脚站立．向他说明也这样做。要确保孩子没有依靠任何能用来支持的东西。如果孩子平衡有些困难，可以用一只手支持他．,无,,是,孩子能无需依赖任何支持而单脚站立,孩子未能设法自己单脚站立，需要你的一只手去支持,孩子根本不试图单脚站立(例如不抬脚)
39,功能发展,粗大动作,双脚原地上下跳动,给孩子示范如何同时使用双脚在原地上下跳动．向他说明也这样做．,无,,是,孩子能上下跳动(双脚同时离地和着地),孩子未能设法用双脚跳(例如弯下膝盖，但是一只脚也没有离地，只用一只脚跳，只用一只脚落地等),孩子不试着去跳
40,功能发展,粗大动作,在装有轮子的学步车上用双脚推着自己走,向孩子说明去坐在学步车上．鼓励他推着自己绕房间走动．,装有轮子的学步车,,是,孩子能用双脚推着自己走，并能推着学步车到较远的地方,孩子未能设法坐在上面推着自己走(如动了腿，但未能使学步车动起来),孩子拒绝坐在学步车上，或者坐在上面并不试图去推着自己走-
41,功能发展,精细动作,在同一只手上用大姆指依次触碰其他手指,站在孩子旁边与孩子脸朝同一方向．引起他的注意(“看我怎样做”)．在他面前举起一只手，手掌对着他，伸开手指．示范给孩子看如何用闪一只手的大姆指依次触碰每个手指的指尖．要依次触碰(大姆指碰食指、中指、无名指和小指)．向孩子说明也这样做．,无,,是,孩子能用大姆指依次连续触碰孔他手指,孩子用大姆指至少触碰其中一个手指头，而不考虑正确顺序,孩子动了他的手指头，但未能用姆指去触碰任何一个手指头，或者孩子不试图去做
42,行为表现,人际关系,在游戏期间对身体接触作出不适当反应,向孩子说明你要把他抱起来，然后举起他缓缓地转圈。如果他太重了，就拉着他的手一起转圈．,无,,是,孩子对身体接触反应适当(如喜欢你的游戏),孩子的反应有点不适当,孩子对身体接触的反应非常不适当(如哭喊，反抗，尖叫，似乎过度害怕，退缩等)
43,行为表现,感情,对自己在镜子中的映象作出不适当的反应,把孩子带到镜子前．向他说明去看他的映象(“你看到了谁?”)，注意孩子的反应。,墙面镜或手镜．,,是,孩子能对他的映象作出适当的反应(如说他看见自己了，假装去梳头发，做鬼脸，轻轻地摸镜子等),孩子的反应有点不适当，象一个年龄较小的孩子,孩子对他的映象作出不适当的反应(如避免看他自己，打镜子，对映象有过分的长时间的兴趣等)
44,行为表现,感情,对被挠痒痒作出不适当的反应,开玩笑地对孩子挠痒痒，注意他的反应。,无,,是,孩子能对被挠痒痒作出适当反心(大笑，反过来挠测试者等),反应有点不适当(如有点怕或回避),孩子对被挠痒痒作出很不适当的反应(如尖叫，似乎过度害怕，或没有任何反应等)
45,功能发展,模仿(动作),模仿粗大动作,引起孩子的注意(“看我做什么”)，然后做下列动作．每做一个动作，向他说明也这样做．a、举起一只胳膊  b、摸一下鼻子  c、举起一只胳膊同时用另一只手摸鼻子,无,,是,孩子能全部模仿这三个动作,孩子能模仿或部分地模仿至少一个上述动作,孩子不能或者也不试图去模仿任何一个上述动作
46,功能发展,知觉(听觉),听见并寻找哨声方位,当孩子从事另外一项活动时，把哨子藏在手里，然后大声地吹，并注意孩子的反应．,一只哨子,,是,孩子能明显地对声音作出反应并能正确地辨认声音的方向．这种反应可以是语言的(如问这是什么声音)或非语言的(如眨眼，改变面部表情，吃一惊等，并把头转向声音的方向),孩子有已经听到声音的某种表示，但不去辨认方向或辨认的方向不正确,孩子绝对没有任何语言的或非语言的表示，能说明他己听到了声音
46,行为表现,感觉,听见并寻找哨声方位,当孩子从事另外一项活动时，把哨子藏在手里，然后大声地吹，并注意孩子的反应．,一只哨子,,是,孩子能对声音作出适当反应(参见上面),孩子仅在相当迟疑之后作山反应，或者显示出轻度的不适当情感反应,孩子对声音的反应非常不适当．他的反应可能是一种过分的情感反应(如极端害怕，或长时间尖叫)，过度敏感(如用两手捂住耳朵)，或过度不敏感(如没有任何反应)
47,功能发展,知觉(视觉),对手势作出反应,仅在没有观察到孩子具有对手势作出反应的能力时，才实施这个项目．这个项目可以随意来做，但只能用手势，而不附加任何口头的提示．下面是你可以使用的一些例子：喊孩子的名字，然后做手势要他过来，对孩子做手势把积木收起来，递给你一支蜡笔，坐下等等．,无,,是,孩子对你的所有手势都能做出相应的反应,孩子不能始终一致地对你的手势做出相应的反应，即仅能对其中的一些手势作出反应，对另一些则不能,孩子不能对你的任何一种手势作出反应
48,功能发展,手眼协调,自发地涂鸦,向孩子说明坐回到桌子旁的座位上，打开书写本，翻到第一空页，把书写本放在孩子面前，然后给一支腊笔，向他说明去涂写．如果在相当一段时间后孩子没有自发地涂写，就拿过腊笔做示范。然后把腊笔还给他，再次向他说明去涂写．,孩子的书写本和一支腊笔,,是,孩子能自发地涂鸦(或画一些符号),孩子能涂鸦，但需要做示范才去试着做,即使在示范后孩子仍不能或者也不试着去涂鸦
49,功能发展,手眼协调,照样画垂直线,,同31总的实施步骤(项目32—36)：打开小本子，翻到适当的一页，放到孩子面前．指着样本向孩子说明照着去画。允许孩子试三次去照样画。如果在相当一段时间后，孩子看上去仍难于理解或完成这项任务，就做示范。然后再次孩子向说明去照着画。观察孩子在完成这些项目时偏用哪只手或不用哪一只手．,,是,在3次试画中孩子不需要示范至少有一次能画出一条垂直线，且和样本的长度接近,孩子设法去画垂直线，但画的线弯曲线，或者不象垂直线倒象水平线，并小与样本所画的线差不多长等．如果他画了一条垂直线，但加了其他一些符号和图案(如绕着直线画了一个圆等)，也可以评为中间反应。再者，孩子如果需要示范才试着去做或完成这一项目，也可评为中间反应,孩子不能或者也不试图画垂直线(如乱涂，拿着腊笔接近纸张，但并不画等)
50,功能发展,手眼协调,照样画圆,同3 2,同31,,是,在3次试画中，孩子不需要示范至少有一次能画出一个圆．此圆必需是一个闭合的图形，不能有大的缺口或棱角,孩子能设法画圆形但他画的圆有很大的缺口或棱角．如果孩子只是作连续的圆形涂划，或者他需要示范才能试着去完成此项任务,孩子不能或者也不试图去照样画圆(如他画的图形一点也不象圆)
51,功能发展,手眼协调,照样画正方形,同3 2,同31,,是,在3次试画中孩子至少有一次能画出了一个正方形而不需要示范．此正方形必须是一个闭合的图形，没有任何大的缺口，而且正方形的四边长度必须近似于等长，四角要基本上是9 0度(直角)，线条允许稍稍有些波动,孩子能设法画正方形，但他的正方形不是闭合的图形，四条边显然不等长， 或四个角不接近90·。如果他画的正方形四边明显呈波浪形，或者他需要示范才试着去或完成此项任务．都可评为中间反应,孩子不能或者也不试着画正方形(如他画的图形一点也不象正方形)
