"排序","分组","领域","评估项目","操作描述","所需材料","适用年龄","是否必答","评分说明_1_达标","评分说明_0.5_部分达标","评分说明_0_未达标"
"11","Level 3 (30-48月)","Mand(提要求)","Mand 11","能够用特殊疑问句或用一个问题字自发地提出 5 个不同的关于信息的要求（如：你叫什么名字？我到哪里去？）（TO：60 分钟）","","30-48月","是","能够用特殊疑问句或用一个问题字自发地提出 5 个不同的关于信息的要求（如：你叫什么名字？我到哪里去？）（TO：60 分钟）","(11-a) 对同伴提要求 5 次; (11-b) 自发地要求关注 5 次（如：老师！嘿！打扰了）; (11-c) 在一周时间里，孩子提出 100 个或更多的不同的要求（TO：1 周）; (11-d) 用包含 3 个词语的短语提要求 10 次（如：我能看吗？）; (11-e) 要求特定数量的强化物 2 次（如：2 个小熊 QQ 糖）","以上行为均未观察到"
"12","Level 3 (30-48月)","Mand(提要求)","Mand 12","能够在 5 个不同环境中有礼貌地要求停止不喜欢的活动或者除去任何引起反感动机的条件（如：“请别再推我”“不啦，谢谢”“对不起，你能让一下吗？”）","","30-48月","是","能够在 5 个不同环境中有礼貌地要求停止不喜欢的活动或者除去任何引起反感动机的条件（如：“请别再推我”“不啦，谢谢”“对不起，你能让一下吗？”）","(12-a) 要求去除厌恶的物品或活动 2 次（如：拿走、把它放回去）; (12-b) 要求他人执行两步动作的活动 2 次（如：过来并看着我）; (12-c) 在大人间接的语言辅助下说请和谢谢（如：你该说什么？）; (12-d) 通过用同样的词语要求 2 个不同的强化物表现出动机操作（MO）的泛化（如：当要求注意力时说我们画画吧、当想摆脱工作时说我们画画吧）; (12-e) 要求其他人参与活动 2 次（如：过来玩、帮忙挖）","以上行为均未观察到"
"13","Level 3 (30-48月)","Mand(提要求)","Mand 13","能用 10  个不同的形容词、介词或副词提要求（如：“我的蜡笔断了”“别把它拿出去”“快走”）（TO：60分钟）","","30-48月","是","能用 10  个不同的形容词、介词或副词提要求（如：“我的蜡笔断了”“别把它拿出去”“快走”）（TO：60分钟）","(13-a) 自发要求使用卫生间 2 次; (13-b) 要求他人注意自己的非语言行为 2 次（如：看我）; (13-c) 要求他人注意环境中的某些方面 2 次（如：看，一辆卡车）; (13-d) 用 2 个不同的形容词提要求（如：我想要红色的小熊软糖）; (13-e) 用 2 个不同的介词提要求（如：把它放到屋子里）; (13-f) 用 2 个不同的副词提要求（如：慢一点）","以上行为均未观察到"
"14","Level 3 (30-48月)","Mand(提要求)","Mand 14","能够指出、说明或解释如何做某件事或如何参与一个活动？（如：“你先涂胶水，然后再把它粘起来”，“我去拿一本书，你在这里坐好”）达 5 次","","30-48月","是","能够指出、说明或解释如何做某件事或如何参与一个活动？（如：“你先涂胶水，然后再把它粘起来”，“我去拿一本书，你在这里坐好”）达 5 次","(14-a) 要求同情或其他的情感支持 2 次（如：他很坏）; (14-b) 要求其他人将一个特定的物品送给另外一个人 2 次（如：把这个给沙拉）; (14-c) 要求说明以便完成一个任务 2 次，（如：他去哪了？我该怎么做？）; (14-d) 自发的在一个句子中用 3 个主要的表达部分提要求（如：名词-动词-形容词）来提要求 2 次（如：快点推这个大的自行车。）","以上行为均未观察到"
"15","Level 3 (30-48月)","Mand(提要求)","Mand 15","要求他人注意自己的对话行为（如：“听我说…”，“让我来告诉你…”，“当时发生的是…”，“我来说个故事…”）达 5 次","","30-48月","是","要求他人注意自己的对话行为（如：“听我说…”，“让我来告诉你…”，“当时发生的是…”，“我来说个故事…”）达 5 次","(15-a) 用含有五个单词的短语或句子题要求 10 次（TO:60 分钟）; (15-b) 就关于未来事件要求信息 2 次; (15-c) 对个人事件要求关注 2 次（如：我的胃疼）; (15-d) 用为什么的提问要求信息 5 次; (15-e) 用如何的问题要求信息 5 次","以上行为均未观察到"
"16","Level 1 (0-18月)","Tact(命名)","Tact 1","能对两个物品进行命名（如：人物，偏好物，角色，或喜爱的物件）","","0-18月","是","能对两个物品进行命名（如：人物，偏好物，角色，或喜爱的物件）","(1-a) 有语言辅助和动机存在时，命名 1 个熟悉的人，偏好物或物品（如：妈妈）","以上行为均未观察到"
"17","Level 1 (0-18月)","Tact(命名)","Tact 2","对任何 4 个物件进行命名（如：人物，偏好物，角色，或喜爱的物件）","","0-18月","是","对任何 4 个物件进行命名（如：人物，偏好物，角色，或喜爱的物件）","部分达到里程碑描述的标准","以上行为均未观察到"
"18","Level 1 (0-18月)","Tact(命名)","Tact 3","命名 6 种非强化物（例如，鞋子帽子，勺子，汽车，杯子，床等），","","0-18月","是","命名 6 种非强化物（例如，鞋子帽子，勺子，汽车，杯子，床等），","(3-a) 通过 2 个不同的人和 2 种不同的环境，泛化已知的反应（如：能对爸爸和妈妈命名小猫，能在床上和厨房里命名爸爸）; (3-b) 通过对 2 种物品的每一种物品的两个样本进行泛化命名（如：命名 2 种不同的电话）","以上行为均未观察到"
"19","Level 1 (0-18月)","Tact(命名)","Tact 4","自发地（无口语辅助）命名 2 样不同的物件（TO：60 分钟）","","0-18月","是","自发地（无口语辅助）命名 2 样不同的物件（TO：60 分钟）","(4-a) 看全家福照片时，在语言辅助下命名 2 个家庭成员; (4-b) 从一本书或画片上（2D）命名 2 张图片（如：鸭子，球）","以上行为均未观察到"
"20","Level 1 (0-18月)","Tact(命名)","Tact 5","能命名 10 个物件（如：常见的物体，人物，身体部位或者图片）","","0-18月","是","能命名 10 个物件（如：常见的物体，人物，身体部位或者图片）","(5-a) 命名 5 张图片（2D）; (5-b) 24 小时后在没有训练的情况下，维持最近获得的命名; (5-c) 通过对 5 种物品的每种物品的 3 种样本进行泛化命名（如：命名 3 个不同的勺子）","以上行为均未观察到"
"21","Level 2 (18-30月)","Tact(命名)","Tact 6","当被问到“这是什么？”（如：书、鞋子、汽车、狗、帽子）时，能够命名 25 个物品","","18-30月","是","当被问到“这是什么？”（如：书、鞋子、汽车、狗、帽子）时，能够命名 25 个物品","(6-a) 用特定的名称命名 4 个不同的人，偏好物或角色（可包括妈妈和爸爸）; (6-b) 能根据问题命名 2 个动作，如：我在做什么？（如：跳跃、拍手）; (6-c) 不超过 20 个训练回合获得一个新的命名; (6-d) 在 15 秒的时间内能命名 5 次（流利性）","以上行为均未观察到"
"22","Level 2 (18-30月)","Tact(命名)","Tact 7","在测试时或从已知的泛化清单中（例如命名3 种不同的汽车），能够泛化命名50 种物品的3 个不同例子（如：命名 3 种不同的汽车）","","18-30月","是","在测试时或从已知的泛化清单中（例如命名3 种不同的汽车），能够泛化命名50 种物品的3 个不同例子（如：命名 3 种不同的汽车）","(7-a) 能命名 3 个身体部位，（如：鼻子、眼睛、嘴巴）; (7-b) 能命名 2 个听觉刺激，（如：电话铃声、警笛声、狗叫声）; (7-c) 自发地发出含有两个词语的命名，共有 5 个类似的不同命名（如：宝宝哭）; (7-d) 当问到“他在干什么？”时能命名 2 个不同的活动（如：喝水、游泳）; (7-e) 当问到“那是什么？”时，能命名 40 个物品（如：树、碗、袜子、蜡笔，苹果）","以上行为均未观察到"
"23","Level 2 (18-30月)","Tact(命名)","Tact 8","当面临“我在干什么？”（如：跳、睡、吃）的问题时，能命名 10 个动作","","18-30月","是","当面临“我在干什么？”（如：跳、睡、吃）的问题时，能命名 10 个动作","(8-a) 命名 2 个触觉刺激物（如：当在袋子里摸到球时说球）; (8-b) 能命名 5 个名-动词或动-名词的组合（如：小狗吃东西，滚球）; (8-c) 当被问到“你在这看见了什么？”时，能从一本书中不同的 10 页中命名 2 个或更多的物品; (8-d) 在 5 种场合下当命名时能看着听者","以上行为均未观察到"
"24","Level 2 (18-30月)","Tact(命名)","Tact 9","在测试时或从已知命名双词清单中（如：洗脸，舅舅游泳，宝宝睡觉），能够命名 50 组如动词加名词或名词加动词的两种成分组合","","18-30月","是","在测试时或从已知命名双词清单中（如：洗脸，舅舅游泳，宝宝睡觉），能够命名 50 组如动词加名词或名词加动词的两种成分组合","(9-a) 能命名 25 组两两相关的名词组合，如，纸和铅笔，汽车和卡车; (9-b) 不超过十五次训练回合就能获得一个新的命名; (9-c) 自发的在书中，电视上或视频中命名一些物品 5 次（如：《灰姑娘》中的辛德瑞拉）; (9-d) 没有直接的训练（如：不经训练仿说到命名的转换）获得 2 个新的命名; (9-e) 对 5 个物品表现出反应泛化（即，用两个不同的词语命名同一刺激物，老师和凯蒂，猫和加菲，狗和麦琪）","以上行为均未观察到"
"25","Level 2 (18-30月)","Tact(命名)","Tact 10","在测试时或从已知命名的积累清单中，能够命名总数为 200 的名词和/或动词，或其他语言成分","","18-30月","是","在测试时或从已知命名的积累清单中，能够命名总数为 200 的名词和/或动词，或其他语言成分","(10-a) 命名 10 个动作（如：攀爬、游戏、图色、游泳、洗）; (10-b) 命名 2 个味觉刺激（如：当尝到桔子时，能命名桔子）; (10-c) 在一分钟的流利性测试中能命名 20 个物品; (10-d) 命名 2 种不同的颜色（如，红色、蓝色）; (10-e) 能命名两种不同的形状（如：圆形、星形）","以上行为均未观察到"
"26","Level 3 (30-48月)","Tact(命名)","Tact 11","面对用混乱秩序提出的 5 个物件，孩子能够命名它们的颜色形状和功能（15 个回合）（）如：“冰箱是什么颜色？”“情人节的形状是什么？”“你用球来做什么？”）（这里部分是命名部分是对话）","","30-48月","是","面对用混乱秩序提出的 5 个物件，孩子能够命名它们的颜色形状和功能（15 个回合）（）如：“冰箱是什么颜色？”“情人节的形状是什么？”“你用球来做什么？”）（这里部分是命名部分是对话）","(11-a) 命名两种嗅觉刺激（如：饼干爆米花，花）; (11-b) 在一周内没有直接训练的情况下获得 5 个新的命名; (11-c) 通过其名字来命名 2 个人（非家庭成员）; (11-d) 命名 5 个类别或者分类（如，动物、饮料、玩具）; (11-e) 命名 5 个地点（如：厨房、卧室、操场、外婆家）; (11-f) 用是和不是命名 25 个物品和/或活动（如：这是你的鞋子吗？他的名字是贝奇吗？）（因为对任务增加了语言区辨性刺激，所以部分是对话）; (11-g) 命名 25 个物品的功能（如：给孩子一支蜡笔，并问他，你用这个干什么？）（部分对话）; (11-h) 命名 2 个具体特征和 25 个物品或人物的一部分，（如：汽车上的轮子和门）; (11-i) 在第一个回合中，就能泛化到新的物品或者活动，共 5 个事物","以上行为均未观察到"
"27","Level 3 (30-48月)","Tact(命名)","Tact 12","能够命名 4 个不同的介词（如，“在……中”，“在……外”，“在……上”，“在……下”），和 4 个代词（如：我、你、他、我的）","","30-48月","是","能够命名 4 个不同的介词（如，“在……中”，“在……外”，“在……上”，“在……下”），和 4 个代词（如：我、你、他、我的）","(12-a) 命名 25 个物品的类别（如：大人指着狗并说，狗是一种……）（部分对话）; (12-b) 从 10 张图片或物品中命名什么错的或缺了什么（如：脸没有鼻子）; (12-c) 命名 10 个物品的功能和类别（如：展示给儿童一块饼干并说：“你用这个干什么？”然后对他说：“饼干是一种……”）（部分对话）; (12-d) 命名 2 个介词的关系（如：奥斯卡在哪里？……在垃圾桶里）（部分对话）; (12-e) 用 2 个不同的代词命名人物（如：谁戴了帽子？……你戴了）（部分对话）; (12-f) 自发地命名一个物品的功能、特性和类别，共 5 个物品（如：那个应在游泳池里）; (12-g) 泛化特性，功能和类别表现为命名每个类别中的 10 个新成员（如：在训练了牛，鸟和猴子是动物之后，孩子第一次训练时能命名熊是动物）","以上行为均未观察到"
"28","Level 3 (30-48月)","Tact(命名)","Tact 13","能够命名 4 个不同的形容词，但不包括颜色和形状（如：快的、慢的、近的、轻的）","","30-48月","是","能够命名 4 个不同的形容词，但不包括颜色和形状（如：快的、慢的、近的、轻的）","(13-a) 用 4 个不同的术语命名人物的性别（女孩、男孩、男人、女人）; (13-b) 自发地命名其他人的行为 2 次; (13-c) 命名 2 对关系形容词（如：大和小，长和短），（如果问题是这是什么尺寸的？那就是部分对话）; (13-d) 自发地用 2 个不同的形容词命名; (13-e) 自发地用 2 个不同的副词命名; (13-f) 自发地命名物品所属权 2 次，（如：我的、你的）","以上行为均未观察到"
"29","Level 3 (30-48月)","Tact(命名)","Tact 14","能够命名含有 4 个以上字的完整句子，共达 20 次","","30-48月","是","能够命名含有 4 个以上字的完整句子，共达 20 次","(14-a) 用 4 个不同术语命名人物关系（如，姐妹、兄弟、外婆、叔叔），（如果使用问题那么就是部分对话）; (14-b) 在一个完整句中用 5 个形容词-名词组合命名（如：那是一只大狗）; (14-c) 在一个完整句中用 5 个动词-副词组合命名（如：他大声唱歌）; (14-d) 在一个完整句中用 5 个介词-名词组合命名（如：狗在房子里）; (14-e) 在一个完整句中用 5 个主语-动词-名词组合命名（如：女孩正在拉四轮马车）","以上行为均未观察到"
"30","Level 3 (30-48月)","Tact(命名)","Tact 15","通过测试或从以前积累的已知词汇表说明孩子能够命名 1000 个字（名词、动词和形容词等）","","30-48月","是","通过测试或从以前积累的已知词汇表说明孩子能够命名 1000 个字（名词、动词和形容词等）","(15-a) 命名自己或他人的 3 种情绪（如：难过，高兴，生气，害怕，累了）（如果使用了类似于“你感觉怎样？”的问题就是部分对话）; (15-b) 命名 5 个经常使用的具有语言功能的手势（如：捏鼻子表示闻到不好的气味，手指贴近嘴唇表示安静，竖起大拇指表示做得好，打哈欠表示累了）; (15-c) 命名 5 个职业人员（如：警察，消防员，护士，医生，快递员）; (15-d) 命名 2 个不同的否定词达 5 次（如：那不是一只猫）; (15-e) 命名 5 个社交的、社区的，或集体事件（如：游行、聚会、紧急情况）; (15-f) 自发地命名 2 个不同的社会情景（如：他们很忙，他们在争吵）; (15-g) 在包含至少 5 个单词的句子里用未经训练的词语命名 5 次","以上行为均未观察到"
"31","Level 1 (0-18月)","Listener(听者反应)","Listener 1","能有 5 次注意讲者的声音，并将目光转向讲者","","0-18月","是","能有 5 次注意讲者的声音，并将目光转向讲者","(1-a) 将头转向声源（如：铃声，吱吱作响的玩具，响铃的手机）","以上行为均未观察到"
"32","Level 1 (0-18月)","Listener(听者反应)","Listener 2","在听到自己的名字后，能作出反应并达 5 次，（如：看着讲者）","","0-18月","是","在听到自己的名字后，能作出反应并达 5 次，（如：看着讲者）","(2-a) 在听到看护者的声音微笑 2 次","以上行为均未观察到"
"33","Level 1 (0-18月)","Listener(听者反应)","Listener 3","当家庭成员、偏好物或其它强化物以 2 个一组的组合呈现时，（如：艾莫在哪？妈妈在哪里？）孩子能正确地看向、触摸，或指向 5 个不同的强化物","","0-18月","是","当家庭成员、偏好物或其它强化物以 2 个一组的组合呈现时，（如：艾莫在哪？妈妈在哪里？）孩子能正确地看向、触摸，或指向 5 个不同的强化物","(3-a) 听到自己的名字被叫时中断一个游戏活动; (3-b) 在适当的环境里对不，烫，停下，或其他指令作出反应; (3-c) 当被命名时关注一个目标物或图片（不需要辨别）5 次; (3-d) 在环境中对两个简单的（1 步）语言指令作出反应（如：有椅子时，听到“坐下”）; (3-e) 当有人提名时能够在两个家庭成员和/或偏好物之间辨别（如：爸爸在哪？）; (3-f) 把物品呈现在视觉水平时能在两个物品之间辨别（如：当大人展示一个球和一只鞋，同时要求摸球时，孩子能看向、触摸或指向一个球）","以上行为均未观察到"
"34","Level 1 (0-18月)","Listener(听者反应)","Listener 4","在没有视觉辅助下，能依据指令完成 4 个不同的粗大动作（如：你可以跳吗？拍手给我看）","","0-18月","是","在没有视觉辅助下，能依据指令完成 4 个不同的粗大动作（如：你可以跳吗？拍手给我看）","(4-a) 对 10 个不同的物品或图片在 2 的组合中，选择正确的物品; (4-b) 持续注意讲者达 2 秒; (4-c) 能够触摸 2 个身体部位（如：摸摸你的鼻子，你的耳朵在哪里？）; (4-d) 能表演 2 个大动作（如：拍手给我看。你可以转圈吗？）; (4-e) 当别人命名时，能在 3 个一组的组合中选择正确的物品，共 10 个不同的物品（如：狗、帽子、书）; (4-f) 通过五个不同的物品的各 2 个样本，泛化一个听者辨别（LD）任务（如：能辨别两种不同的狗，两种不同的杯子，两种不同的球）","以上行为均未观察到"
"35","Level 1 (0-18月)","Listener(听者反应)","Listener 5","能在 4 个一组的组合中，正确的选择 20 个不同的物件或图片（如：把猫给我，摸鞋子）","","0-18月","是","能在 4 个一组的组合中，正确的选择 20 个不同的物件或图片（如：把猫给我，摸鞋子）","(5-a) 能在 10 秒时间内辨别（LD）5 个物品（流利性测试）; (5-b) 在没有视觉辅助的情况下，按指令表演 6 个不同的大动作; (5-c) 在 24 小时后不要训练也能维持一个已获得的听者技能; (5-d) 能自发的（对反应没有直接的辅助时）表现出听者反应 2 次; (5-e) 每天三次通过 3 个不同的人，3 个不同的环境泛化听者任务","以上行为均未观察到"
"36","Level 2 (18-30月)","Listener(听者反应)","Listener 6","能够从每次展示的 6 个物品中选择正确的物品，共能选择 40 个不同的物品或者图片（如：找出猫或者摸摸球）","","18-30月","是","能够从每次展示的 6 个物品中选择正确的物品，共能选择 40 个不同的物品或者图片（如：找出猫或者摸摸球）","(6-a) 从 5 个一组的凌乱的组合中选择正确的物品，共 25 个不同的物品（如：汽车、书本、小狗、鞋子）; (6-b) 不超过 25 次的训练回合获得新的听者技能; (6-c) 通过名称对 6 个人物、偏好物或角色加以辨别（如：找一找奥斯卡）; (6-d) 在听者任务中对 25 个不同物品中的每一个泛化 3 个样本","以上行为均未观察到"
"37","Level 2 (18-30月)","Listener(听者反应)","Listener 7","能够在每次展示 8 件物品的组合中泛化区辨性的听者反应能力，共达 50 种物品并且每件物品都有三种不同的形式（如：孩子能找到三种不同形式的火车）","","18-30月","是","能够在每次展示 8 件物品的组合中泛化区辨性的听者反应能力，共达 50 种物品并且每件物品都有三种不同的形式（如：孩子能找到三种不同形式的火车）","(7-a) 能够根据要求走向 3 个特定的人（如：去黛比那里）; (7-b) 在一本书里指认 5 个命名的物品（如：消防车在哪？）; (7-c) 根据要求，在自然环境中选择 5 个物品，（如：在吃饭时拿勺子）; (7-d) 在自然环境中自发地表现出（没有对反应的辅助）5 个听者技能（如：当某人在房间里提到摇摆木马时，孩子自发的走向摇摆木马）","以上行为均未观察到"
"38","Level 2 (18-30月)","Listener(听者反应)","Listener 8","能在指令下做出 10 个特定的粗大动作（让我看看你拍手。你能跳一下吗？）","","18-30月","是","能在指令下做出 10 个特定的粗大动作（让我看看你拍手。你能跳一下吗？）","(8-a) 根据要求走向 3 个特定的地点（如：到厨房去、带我看看你的卧室）; (8-b) 从包含有 2 个相似刺激（如：一样的颜色）的 8 个一组的组合中，选择正确的物品，共 20 个物品; (8-c) 当给出物品发出的声音时选择一个物品，共 5 种物品（如：狗叫声：狗，警笛声：消防车）; (8-d) 从 8 个一组的组合从选择 2 个物品共五组（名词-名词）（如：宝宝和奶瓶在哪里？）","以上行为均未观察到"
"39","Level 2 (18-30月)","Listener(听者反应)","Listener 9","能够遵循 50 个由名词加动词和/或动词加名词组成的双重成分的指令（如：表演宝宝睡觉，推秋千）","","18-30月","是","能够遵循 50 个由名词加动词和/或动词加名词组成的双重成分的指令（如：表演宝宝睡觉，推秋千）","(9-a) 没有正式训练获得 2 个新的听者反应（如：某人叫另外一个人去开灯，孩子会走向灯那里，没人知道他已经知道了灯这个词语）; (9-b) 对五个不同的手势做出适当的反应（如：手指紧贴着嘴唇表示安静，掌心向外生，表示停止）; (9-c) 对 3 个不同的人表现出 3 个指定的动作（如，抱抱外婆，和姥姥击掌）; (9-d) 从一个场景、一本书或自然环境中选择 2 个目标物品，共 20 组物品，（名词-名词）（如：长颈鹿和大象在哪里？）","以上行为均未观察到"
"40","Level 2 (18-30月)","Listener(听者反应)","Listener 10","能够根据所提供的名称而从书中、图片、场景，和自然环境中选择正确的物品共达 250 件（通过测试或已知单词的积累清单表明）","","18-30月","是","能够根据所提供的名称而从书中、图片、场景，和自然环境中选择正确的物品共达 250 件（通过测试或已知单词的积累清单表明）","(10-a) 表演 2 个连续的动作，共 10 组不同的动作（动词-动词）（如：给我表演跳和拍手）; (10-b) 从 4 个不同颜色物品的组合中辨别 2 种颜色; (10-c) 从 4 个不同形状物品的组合中辨别 2 种形状; (10-d) 在名词-动词的听者任务中，对 5 个不同的动作用一个新的物品进行泛化（如：在经过旋转和滚动铅笔的训练后，孩子在第一个回合中就能正确地旋转和滚动吸管）; (10-e) 在名词-动词的听者任务中，对 5 个物品用一个新动作进行泛化（如：能旋转任何物品）","以上行为均未观察到"
