"排序","一级分类","二级分类","评估项目","操作描述","所需材料","适用年龄","是否必答","评分_a_分值","评分_a_标签","评分_a_说明","评分_b_分值","评分_b_标签","评分_b_说明","评分_c_分值","评分_c_标签","评分_c_说明","评分_d_分值","评分_d_标签","评分_d_说明","评分_e_分值","评分_e_标签","评分_e_说明"
"80","发展副测验","小肌肉-FM","绘画1个完整的人形（若73=0分，给0分）","","画写簿","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"81","发展副测验","小肌肉-FM","写下名字（若79=0分，给0分）","","画写簿","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"82","发展副测验","认知(语言/语前)-CVP","用剪刀剪纸","","纸及剪刀","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"83","发展副测验","语言表达-EL","对图画书感兴趣","","图画书","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"84","发展副测验","语言表达-EL","假装使用5件图画中的物件","","图画书","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"85","发展副测验","认知(语言/语前)-CVP","辨认14幅图画","项目       提问词\nA.杯子  答案____\nB.洋娃娃  答案____\nC.钥匙  答案____\nD.飞机  答案____\nE.鸟笼  答案____\nF.雨伞  答案____\nG.煮食  答案____\nH.系鞋带  答案____\nI.门  答案____\nJ.木偶  答案____\nK.公鸡  答案____\nL.接球  答案____\nM.建筑  答案____\nN.警察  答案____\nO.砌积木  答案____\nP.烧烤  答案____\nQ.洗澡  答案____\nR.水壶  答案____\nS.火车头  答案____\nT.火箭起飞  答案____","图画书","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"86","发展副测验","语言表达-EL","说出14幅图画名称","正确答案       答案\nA.牛____\nB.皮球/波____\nC.花____\nD.婴儿车____\nE.牙刷____\nF.冰箱____\nG.油____\nH.打秋鞭____\nI.樽____\nJ.电风扇____\nK.企鹅____\nL.溜冰____\nM.抱住只狗____\nN.医生____\nO.跳水____\nP.踏（三轮车/单车）____\nQ.举起____\nR.教堂____\nS.炉____\nT.（整）路____","图画书","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"87","发展副测验","语言表达-EL","说出一句4-5词片语","儿童的词语:____","图画书","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"88","发展副测验","认知(语言/语前)-CVP","辨别9个生字","人____口____上____\n山____刀____天____\n火____手____田____","字卡","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"89","发展副测验","语言表达-EL","读出9个生字","人____口____上____\n山____刀____天____\n火____手____田____","字卡","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"90","发展副测验","认知(语言/语前)-CVP","生字配对","人____口____上____\n山____刀____天____\n火____手____田____","测试用书及字卡","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"91","发展副测验","语言表达-EL","读出数字1-10","1,2,3,4,5,6,7,8,9,10","测试用书","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"92","发展副测验","语言表达-EL","读出3个单字","球____狗____\n猫____屋____","测试用书","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"93","发展副测验","语言表达-EL","读出1句短句子（若92=0或1分，给0分）","小明有一只狗和一只猫。小明又有一个皮球。小明、小猫和小狗住在屋子里。\n一天，小明和小猫、小狗玩皮球。小狗跳过小明的皮球向前走，小明捉住了小狗，他们回家去。\n小明拿着皮球把它放在桌子上。","测试用书","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"94","发展副测验","语言表达-EL","诵读篇章少于3个犯错（若92=0或1分，给0分）","","测试用书","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"95","发展副测验","语言表达-EL","阅读理解及回答2条问题（若92=0或1分，给0分）","1.小明有什么动物?（狗/猫）____\n2.小明玩什么?（狗/猫/皮球）____\n3.什么跳过小明的皮球?（狗）____","测试用书","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"96","发展副测验","语言表达-EL","阅读句子及遵从指令（若92=0或1分，给0分）","拿起皮球____\n皮球放桌子上____","测试用书及皮球","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"97","发展副测验","认知(语言/语前)-CVP","把1块积木放进盒中","放入____块","小积木及盒子","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"98","行为副测验","社交互动-SR","轮流摆放积木进盒中","","小积木及盒子","","是","0","严重","","1","轻微","","2","恰当","","","","","","",""
"99","发展副测验","认知(语言/语前)-CVP","叠8块积木","第1次：____块\n第2次：____块\n第3次：____块","小积木","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"100","发展副测验","认知(语言/语前)-CVP","执行2步骤的指令","第1步：把积木放入杯里\n第2步：把杯子放地上","杯子及积木","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"101","发展副测验","语言理解-RL","按指示交出2块及6块积木","2块____\n6块____","8块积木","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"102","发展副测验","认知(语言/语前)-CVP","数出2块及7块积木","2块____\n7块____","7块积木","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"103","发展副测验","认知(语言/语前)-CVP","唱数1-10","1,2,3,4,5,6,7,8,9,10","7块积木","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"104","发展副测验","认知(语言/语前)-CVP","2种物件分类(积木及筹码)","完成积木____块\n完成筹码____块","积木、筹码及透明罐","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"105","发展副测验","认知(语言/语前)-CVP","配对5种颜色积木在图形上","红____\n黄____\n蓝____\n白____\n绿____","测试用书及积木","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"106","发展副测验","语言表达-EL","说出5种颜色","红____\n黄____\n蓝____\n白____\n绿____","测试用书及积木","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"107","发展副测验","语言理解-RL","按指示挑选5种颜色","红____\n黄____\n蓝____\n白____\n绿____","测试用书及积木","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"108","发展副测验","认知(语言/语前)-CVP","自行根据颜色或形状作12张图卡分类（若105=0或1分，给0分）","自行完成/部分示范/全部示范\n颜色/形状\n完成____张","形状色卡","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"109","发展副测验","模仿(视觉/动作)-VMI","对他人模仿自己的动作有反应","","形状色卡","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"110","发展副测验","模仿(视觉/动作)-VMI","对他人模仿自己的声音有反应","","形状色卡","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"111","发展副测验","模仿(视觉/动作)-VMI","模仿3种声音","练习：da-da\n1. m-m-m____\n2. ba-ba____\n3. pa-ta____\n4. la-la____","形状色卡","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"112","发展副测验","语言表达-EL","重复2个数字","7-9____\n5-3____","形状色卡","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"113","发展副测验","语言表达-EL","重复3个数字","2-4-1____\n5-7-9____","形状色卡","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"114","发展副测验","语言表达-EL","重复2个字词","街街____车车____拜拜____","形状色卡","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"115","发展副测验","模仿(视觉/动作)-VMI","重复2至3词短句（若114=0，给0分）","1.宝宝看过来\n2.我要饼干\n3.他大声叫","形状色卡","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"116","行为副测验","社交互动-SR","测试员向儿童说话时儿童能望着测试员的面孔","短暂/没有","形状色卡","","是","0","严重","","1","轻微","","2","恰当","","","","","","",""
"117","行为副测验","行为特征-语言-CVB","没有延迟性鹦鹉式讲话","不适用/过多","形状色卡","","是","0","严重","","1","轻微","","2","恰当","","","","","","",""
"118","发展副测验","语言表达-EL","要求食物或饮品","","罐及喜爱的物件","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"119","发展副测验","语言理解-RL","明白代名词","给我____","罐及喜爱的物件","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"120","发展副测验","语言表达-EL","运用众数的量词2次","儿童使用的词语:____","测试用书内图卡或宝物","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"121","发展副测验","语言表达-EL","运用1个代名词","儿童使用的词语:____","果汁、杯、曲奇饼及动物手偶","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"122","发展副测验","语言表达-EL","运用3句双词片语","儿童的词语:____","果汁、杯、曲奇饼、梳子及肥皂泡","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"123","发展副测验","语言理解-RL","遵从4项1-2步骤的口语指令","1.拍一下盒子____\n2.摸一下那只狗____\n3.站起身并跳起来____\n4.放杯子进袋子，然后坐下来____\n5.敲一下门，然后摸一下墙壁____","小球、杯子、手偶、袋子、盒子","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"124","发展副测验","语言理解-RL","开关灯掣(按钮)","","灯的开关","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"125","发展副测验","语言理解-RL","对手势的反应","叫名字+招手____\n坐下____拿走积木____\n交回颜色笔____\n其他：____","","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"126","发展副测验","语言理解-RL","回应「不要」或「停止」的指令","不要：____\n停止：____","","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"127","发展副测验","语言理解-RL","对听到自己名字的反应","","","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"128","发展副测验","语言理解-RL","明白「过来」的指令","","","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"129","发展副测验","语言理解-RL","回答「你是谁」","儿童答案:____","","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"130","发展副测验","语言理解-RL","能回答自己的性别","儿童答案:____","","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"131","发展副测验","语言理解-RL","明白3个动词并示范动作","跳____坐低____\n站起来____","","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"132","发展副测验","语言理解-RL","正确运用代名词","","","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"133","发展副测验","语言理解-RL","回答3句问句","何人____何事____\n何地____何时____","","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"134","发展副测验","语言理解-RL","遵从3个简单的动作指令","坐低____起身____\n过来____给我____\n放下手____开门____\n其他：____","","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"135","行为副测验","行为特征-非语言-CMB","使用视觉讯息","正常/过分刺激","","","是","0","严重","","1","轻微","","2","恰当","","","","","","",""
"136","行为副测验","行为特征-非语言-CMB","单独玩耍时能恰当地使用空间及材料","无兴趣/怪异行为","","","是","0","严重","","1","轻微","","2","恰当","","","","","","",""
"137","行为副测验","行为特征-非语言-CMB","恰当地探索测试房间的环境","无兴趣/怪异行为","","","是","0","严重","","1","轻微","","2","恰当","","","","","","",""
"138","行为副测验","行为特征-非语言-CMB","恰当地对声音作出反应","无反应/过度反应","","","是","0","严重","","1","轻微","","2","恰当","","","","","","",""
"139","行为副测验","行为特征-非语言-CMB","恰当地探索不同质感","抗拒/怪异兴趣","","","是","0","严重","","1","轻微","","2","恰当","","","","","","",""
"140","行为副测验","行为特征-非语言-CMB","恰当地使用味觉","正常/过分兴趣","","","是","0","严重","","1","轻微","","2","恰当","","","","","","",""
"141","行为副测验","行为特征-非语言-CMB","对嗅觉有恰当的兴趣","正常/过分兴趣","","","是","0","严重","","1","轻微","","2","恰当","","","","","","",""
"142","行为副测验","行为特征-非语言-CMB","完成大部分适龄的测试项目","混乱/怪异行为","","","是","0","严重","","1","轻微","","2","恰当","","","","","","",""
"143","发展副测验","语言表达-EL","能使用语言或手势求助","","","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"144","行为副测验","行为特征-语言-CVB","没有不恰当地重复刚听到的字词或片语","不适用/过多","","","是","0","严重","","1","轻微","","2","恰当","","","","","","",""
"145","行为副测验","行为特征-语言-CVB","没有持续地重复某些字词或声音","不适用/过多","","","是","0","严重","","1","轻微","","2","恰当","","","","","","",""
"146","行为副测验","行为特征-语言-CVB","表现恰当的说话语调、声量和速度","不适用/怪异","","","是","0","严重","","1","轻微","","2","恰当","","","","","","",""
"147","行为副测验","行为特征-语言-CVB","没有无意义的声音(玩声)","不适用/过多","","","是","0","严重","","1","轻微","","2","恰当","","","","","","",""
"148","行为副测验","行为特征-语言-CVB","使用与其年龄相符的词汇沟通","不适用/不恰当","","","是","0","严重","","1","轻微","","2","恰当","","","","","","",""
"149","行为副测验","行为特征-语言-CVB","没有说奇异语句与自创语","不适用/过多","","","是","0","严重","","1","轻微","","2","恰当","","","","","","",""
"150","行为副测验","行为特征-语言-CVB","与年龄相符的发音能力","不适用/无法明白","","","是","0","严重","","1","轻微","","2","恰当","","","","","","",""
"151","行为副测验","行为特征-语言-CVB","与年龄相符的自发性沟通","无/怪异沉迷","","","是","0","严重","","1","轻微","","2","恰当","","","","","","",""
"152","行为副测验","行为特征-语言-CVB","与测试员主动沟通","","","","是","0","严重","","1","轻微","","2","恰当","","","","","","",""
"153","行为副测验","行为特征-语言-CVB","与测试员持续对话","","","","是","0","严重","","1","轻微","","2","恰当","","","","","","",""
"154","行为副测验","社交互动-SR","与测试员合作","反复/过分反抗","","","是","0","严重","","1","轻微","","2","恰当","","","","","","",""
"155","发展副测验","语言表达-EL","语句组织能力","偶尔/经常混乱","","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"156","行为副测验","情感表达-AE","用面部表情表达情感","","","","是","0","严重","","1","轻微","","2","恰当","","","","","","",""
"157","行为副测验","情感表达-AE","用身体语言表达情感","","","","是","0","严重","","1","轻微","","2","恰当","","","","","","",""
"158","行为副测验","情感表达-AE","情绪表达","","","","是","0","严重","","1","轻微","","2","恰当","","","","","","",""
"159","行为副测验","情感表达-AE","恰当的情感","无变化/怪异反应","","","是","0","严重","","1","轻微","","2","恰当","","","","","","",""
"160","行为副测验","情感表达-AE","恐惧的反应","无/过多","","","是","0","严重","","1","轻微","","2","恰当","","","","","","",""
"161","行为副测验","情感表达-AE","合乎年龄的专注力","短/极端反应","","","是","0","严重","","1","轻微","","2","恰当","","","","","","",""
"162","行为副测验","行为特征-非语言-CMB","从容地转换活动","接受/极端反应","","","是","0","严重","","1","轻微","","2","恰当","","","","","","",""
"163","行为副测验","情感表达-AE","自我改正","","","","是","0","严重","","1","轻微","","2","恰当","","","","","","",""
"164","行为副测验","情感表达-AE","活动持久性","","","","是","0","严重","","1","轻微","","2","恰当","","","","","","",""
"165","行为副测验","情感表达-AE","分享兴趣","","","","是","0","严重","","1","轻微","","2","恰当","","","","","","",""
"166","行为副测验","社交互动-SR","保持眼神接触","","","","是","0","严重","","1","轻微","","2","恰当","","","","","","",""
"167","行为副测验","社交互动-SR","对测试员的声音有反应","","","","是","0","严重","","1","轻微","","2","恰当","","","","","","",""
"168","行为副测验","社交互动-SR","向测试员求助","无/过分要求","","","是","0","严重","","1","轻微","","2","恰当","","","","","","",""
